,id,Coin_Name,Symbol,num_market_pairs,Launch_Date,Circulating_supply,Total_supply,cmc_rank,last_updated,Price,Volume_24h,Volume_change_24h,Percent_change_1h,Percent_change_24h,Percent_change_7d,Percent_change_30d,Percent_change_60d,Percent_change_90d,Market_cap,Market_cap_dominance,Fully_diluted_market_cap,Last_updated
41,2280,Filecoin,FIL,169,2017-12-13 00:00:00,154192790.0,154192790.0,42,2022-01-28T01:53:00.000Z,19.121350317642786,381554896.99875367,-27.5703,0.2608647,1.37478681,-23.61409215,-47.7835074,-66.07340792,-67.77466896,2948374354.0447273,0.1777,2948374354.04,2022-01-28 01:53:00
42,2416,Theta Network,THETA,96,2018-01-17 00:00:00,1000000000.0,1000000000.0,43,2022-01-28T01:53:00.000Z,2.8554442156014637,531868472.2934649,0.2033,0.44618642,-0.61424836,-30.40022058,-44.61323416,-56.70922766,-58.49637967,2855444215.601464,0.1721,2855444215.6,2022-01-28 01:53:00
43,6783,Axie Infinity,AXS,184,2020-08-31 00:00:00,60907500.0,270000000.0,44,2022-01-28T01:53:00.000Z,46.47903941217795,321739468.54648894,5.5876,-0.88599959,-3.922455,-29.65741916,-52.72309865,-65.97728435,-68.01276395,2830922092.997228,0.1706,12549340641.29,2022-01-28 01:53:00
44,328,Monero,XMR,167,2014-05-21 00:00:00,18069753.80271829,18069753.80271829,45,2022-01-28T01:53:00.000Z,143.4045803762174,156909157.3022687,-19.4614,-0.65499043,-0.64956207,-22.08995381,-31.86618417,-39.81331989,-46.46377485,2591285461.580375,0.1562,2591285461.58,2022-01-28 01:53:00
45,2011,Tezos,XTZ,195,2017-10-06 00:00:00,875891001.051712,904129636.461802,46,2022-01-28T01:53:00.000Z,2.9057899878112194,124335911.31068435,1.9141,1.19631192,1.08344631,-18.91688904,-35.53442605,-37.48431027,-56.28886232,2545155301.270011,0.1534,2627210845.31,2022-01-28 01:53:00
46,1720,IOTA,MIOTA,66,2017-06-13 00:00:00,2779530283.0,2779530283.0,47,2022-01-28T01:53:00.000Z,0.8031146259856555,31156914.12178218,-18.6102,-1.11152528,0.87424159,-17.47630385,-47.01627861,-40.07465779,-37.47080579,2232281423.6473484,0.1345,2232281423.65,2022-01-28 01:53:00
47,1765,EOS,EOS,422,2017-07-01 00:00:00,978987031.0315,1045573256.343,48,2022-01-28T01:53:00.000Z,2.197602264509859,323770163.341863,-26.7904,-0.84782617,0.91861104,-14.13905257,-30.52510074,-44.53492631,-50.97794738,2151424116.320608,0.1297,2297754155.85,2022-01-28 01:53:00
48,3945,Harmony,ONE,79,2019-06-01 00:00:00,11602203483.10067,13330836483.10068,49,2022-01-28T01:53:00.000Z,0.17454953004494772,157471635.6410818,-25.4868,-2.00674797,-3.9273374,-31.27019563,-27.94550629,-35.32469957,-46.61493114,2025159165.4610775,0.122,2326891243.23,2022-01-28 01:53:00
49,7278,Aave,AAVE,304,2020-10-02 00:00:00,13489577.42870239,16000000.0,50,2022-01-28T01:53:00.000Z,143.61920237422893,188108137.6294077,-29.6942,0.126389,0.6053283,-24.94385734,-43.24371876,-40.11970294,-55.71734332,1937362350.6756394,0.1168,2297907237.99,2022-01-28 01:53:00
50,16086,BitTorrent (New),BTT,22,2019-01-31 00:00:00,932497500000000.0,990000000000000.0,51,2022-01-28T01:53:00.000Z,2.0577921980897024e-06,75187862.11741464,53.9525,-1.08775052,2.44513466,-12.07263082,-14.00529832,-14.00529832,-14.00529832,1918886080.2381523,0.1157,2037214276.11,2022-01-28 01:53:00
