,Symbol,Date,Neutral,Positive,Negative,sentiment_score
504,BTC,2022-01-28,42,25,31,-0.092
505,BTC,2022-01-27,22,31,49,-0.265
506,BTC,2022-01-26,45,43,42,0.012
507,BTC,2022-01-25,32,44,47,-0.037
508,BTC,2022-01-24,47,24,58,-0.395
509,BTC,2022-01-23,14,14,25,-0.311
510,BTC,2022-01-22,9,10,42,-0.787
511,BTC,2022-01-21,34,26,76,-0.551
512,BTC,2022-01-20,35,41,34,0.095
513,BTC,2022-01-19,25,40,26,0.231
514,BTC,2022-01-18,19,38,27,0.196
515,BTC,2022-01-17,24,32,36,-0.065
516,BTC,2022-01-16,12,18,2,0.75
517,BTC,2022-01-15,12,22,8,0.5
518,BTC,2022-01-14,22,46,26,0.319
519,BTC,2022-01-13,29,50,14,0.581
520,BTC,2022-01-12,27,81,25,0.632
521,BTC,2022-01-11,32,60,32,0.339
522,BTC,2022-01-10,27,51,62,-0.118
523,BTC,2022-01-09,22,6,15,-0.314
524,BTC,2022-01-08,13,15,18,-0.098
525,BTC,2022-01-07,25,19,52,-0.516
526,BTC,2022-01-06,29,30,75,-0.504
527,BTC,2022-01-05,28,55,42,0.156
528,BTC,2022-01-04,29,41,21,0.33
529,BTC,2022-01-03,45,51,11,0.561
530,BTC,2022-01-02,12,20,9,0.402
531,BTC,2022-01-01,12,10,8,0.1
532,BTC,2021-12-31,22,27,16,0.254
533,BTC,2021-12-30,31,45,12,0.563
534,BTC,2021-12-29,47,24,25,-0.016
535,BTC,2021-12-28,29,9,39,-0.584
536,BTC,2021-12-27,27,42,11,0.581
537,BTC,2021-12-26,15,12,5,0.328
538,BTC,2021-12-25,13,11,6,0.25
539,BTC,2021-12-24,30,39,6,0.66
540,BTC,2021-12-23,34,39,11,0.5
541,BTC,2021-12-22,40,37,10,0.466
542,BTC,2021-12-21,44,54,6,0.692
543,BTC,2021-12-20,39,19,31,-0.202
544,BTC,2021-12-19,17,16,5,0.434
545,BTC,2021-12-18,16,17,10,0.244
546,BTC,2021-12-17,27,29,26,0.055
547,BTC,2021-12-16,35,33,15,0.325
548,BTC,2021-12-15,39,48,19,0.41
549,BTC,2021-12-14,40,27,23,0.067
550,BTC,2021-12-13,32,21,34,-0.224
551,BTC,2021-12-12,19,17,6,0.393
552,BTC,2021-12-11,22,19,12,0.198
553,BTC,2021-12-10,34,27,29,-0.033
554,BTC,2021-12-09,38,33,35,-0.028
555,BTC,2021-12-08,36,31,15,0.293
556,BTC,2021-12-07,41,61,15,0.59
557,BTC,2021-12-06,37,26,46,-0.275
558,BTC,2021-12-05,19,8,16,-0.279
559,BTC,2021-12-04,20,10,43,-0.678
560,BTC,2021-12-03,33,12,28,-0.329
561,BTC,2021-12-02,36,23,35,-0.191
562,BTC,2021-12-01,42,43,21,0.311
563,BTC,2021-11-30,43,32,10,0.388
564,BTC,2021-11-29,31,76,10,0.846
565,BTC,2021-11-28,10,14,11,0.129
566,BTC,2021-11-27,14,13,8,0.214
567,BTC,2021-11-26,22,18,46,-0.488
568,BTC,2021-11-25,27,20,15,0.121
569,BTC,2021-11-24,24,40,14,0.5
570,BTC,2021-11-23,32,39,29,0.15
571,BTC,2021-11-22,29,37,36,0.015
572,BTC,2021-11-21,9,33,7,0.796
573,BTC,2021-11-20,24,24,7,0.464
574,BTC,2021-11-19,27,26,40,-0.226
575,BTC,2021-11-18,38,31,28,0.046
576,BTC,2021-11-17,35,44,33,0.147
577,BTC,2021-11-16,29,50,56,-0.067
578,BTC,2021-11-15,37,61,9,0.729
579,BTC,2021-11-14,11,34,5,0.87
580,BTC,2021-11-13,14,22,17,0.142
581,BTC,2021-11-12,24,50,27,0.342
582,BTC,2021-11-11,34,47,13,0.543
583,BTC,2021-11-10,29,60,17,0.608
584,BTC,2021-11-09,23,66,7,0.922
585,BTC,2021-11-08,26,85,8,0.971
586,BTC,2021-11-07,10,20,4,0.706
587,BTC,2021-11-06,9,19,3,0.774
588,BTC,2021-11-05,23,50,7,0.806
589,BTC,2021-11-04,46,39,12,0.418
590,BTC,2021-11-03,57,42,7,0.495
591,BTC,2021-11-02,25,62,5,0.929
592,BTC,2021-11-01,19,62,7,0.938
593,BTC,2021-10-31,21,19,6,0.424
594,BTC,2021-10-30,10,18,5,0.591
595,BTC,2021-10-29,16,44,7,0.828
596,BTC,2021-10-28,21,56,18,0.6
