,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
444,1642956300,151.82,151.57,151.46,49.79,7557.16,151.78,multiply,BTC
445,1642956240,151.46,151.43,151.46,124.13,18801.12,151.46,multiply,BTC
446,1642956180,151.5,151.43,151.41,128.15,19410.23,151.46,multiply,BTC
447,1642956120,151.59,151.41,151.59,131.87,19966.6,151.41,multiply,BTC
448,1642956060,151.59,151.45,151.49,224.15,33979.03,151.59,multiply,BTC
449,1642956000,151.49,151.07,151.08,1461.46,221399.86,151.49,multiply,BTC
450,1642955940,151.18,151.04,151.09,95.14,14373.66,151.08,multiply,BTC
451,1642955880,151.19,151.05,151.29,71.1,10742.18,151.09,multiply,BTC
452,1642955820,151.29,151.22,151.22,19.0,2874.48,151.29,multiply,BTC
453,1642955760,151.17,151.12,151.01,8.944,1351.65,151.12,multiply,ETH
454,1642955700,151.01,150.94,150.89,24.52,3702.73,151.01,multiply,ETH
455,1642955640,150.89,150.86,150.7,10.41,1570.72,150.89,multiply,ETH
456,1642955580,150.94,150.87,150.97,40.85,6165.79,150.94,multiply,BTC
457,1642955520,150.97,150.94,150.95,76.1,11489.15,150.97,multiply,BTC
458,1642955460,151.05,150.95,151.03,28.24,4262.78,150.95,multiply,BTC
459,1642955400,151.17,150.89,151.04,272.43,41144.08,151.03,multiply,BTC
460,1642955340,151.04,151.01,151.15,50.58,7639.63,151.04,multiply,BTC
461,1642955280,151.22,151.15,151.29,57.89,8750.14,151.15,multiply,BTC
462,1642955220,151.33,151.26,151.23,27.03,4089.44,151.29,multiply,BTC
463,1642955160,152.36,151.22,152.27,54.71,8270.4,151.47,direct,
464,1642955100,151.2,151.07,151.65,17.9,2705.53,151.15,multiply,ETH
465,1642955040,151.7,151.6,152.0,156.05,23665.0,151.65,multiply,ETH
466,1642954980,152.44,152.29,152.57,22.91,3489.07,152.29,multiply,BTC
467,1642954920,153.15,152.81,152.84,57.41,8785.08,153.15,direct,
468,1642954860,152.58,152.51,152.36,27.58,4208.14,152.58,multiply,BTC
469,1642954800,152.4,152.33,152.39,77.18,11759.34,152.36,multiply,BTC
470,1642954740,152.32,152.32,152.37,72.49,11041.83,152.32,multiply,ETH
471,1642954680,152.51,152.48,152.51,28.0,4270.3,152.51,multiply,BTC
472,1642954620,152.55,152.51,152.5,23.93,3649.57,152.51,multiply,BTC
473,1642954560,152.96,152.64,152.64,17.79,2723.43,152.96,direct,
474,1642954500,152.53,152.39,152.42,63.4,9663.62,152.42,multiply,BTC
475,1642954440,152.9,152.24,152.34,683.07,104123.58,152.43,multiply,ETH
476,1642954380,152.53,152.21,152.62,154.01,23441.84,152.21,multiply,BTC
477,1642954320,152.69,152.62,152.7,117.2,17886.98,152.62,multiply,BTC
478,1642954260,152.6,152.53,152.58,153.54,23426.88,152.58,multiply,ETH
479,1642954200,152.58,152.51,152.73,197.76,30175.03,152.58,multiply,ETH
480,1642954140,152.73,152.68,152.82,87.44,13354.82,152.73,multiply,ETH
481,1642954080,152.92,152.82,152.1,125.85,19232.95,152.82,multiply,ETH
482,1642954020,152.18,152.1,152.15,51.53,7837.93,152.1,multiply,ETH
483,1642953960,152.42,152.32,152.2,34.13,5198.52,152.32,multiply,BTC
484,1642953900,152.21,152.07,152.29,63.28,9624.26,152.09,multiply,ETH
485,1642953840,152.25,152.18,152.1,66.46,10118.68,152.25,multiply,BTC
486,1642953780,152.21,152.07,152.16,176.6,26860.98,152.1,multiply,BTC
487,1642953720,152.16,151.99,152.38,191.11,29079.91,152.16,multiply,BTC
488,1642953660,152.56,151.43,151.18,1013.0,154361.84,152.38,multiply,BTC
489,1642953600,151.44,151.42,151.44,65.04,9859.0,151.42,direct,
490,1642953540,151.16,150.95,151.05,34.08,5149.21,151.09,multiply,BTC
491,1642953480,151.01,150.98,150.85,3.502,528.83,151.01,multiply,ETH
492,1642953420,150.85,150.83,150.64,39.68,5985.84,150.85,multiply,ETH
493,1642953360,150.8,150.77,150.44,20.23,3050.72,150.8,multiply,BTC
494,1642953300,150.33,150.28,150.1,48.92,7351.74,150.28,multiply,ETH
