Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,247.259995,247.520004,244.949997,246.059998,227.285416,91398800
2017-09-06,246.839996,247.279999,246.229996,246.899994,228.061325,57916900
2017-09-07,247.250000,247.270004,246.399994,246.869995,228.033646,58034700
2017-09-08,246.539993,247.110001,246.300003,246.580002,227.765778,63832800
2017-09-11,248.039993,249.300003,248.020004,249.210007,230.195129,71364800
2017-09-12,249.630005,250.089996,249.419998,250.050003,230.971024,56896000
2017-09-13,249.720001,250.210007,249.589996,250.169998,231.081848,59228000
2017-09-14,249.800003,250.320007,249.600006,250.089996,231.007996,95446300
2017-09-15,248.690002,249.289993,248.570007,249.190002,231.318939,95432400
2017-09-18,249.610001,250.119995,249.279999,249.720001,231.810944,46235200
2017-09-19,250.000000,250.070007,249.600006,249.970001,232.042999,47108100
2017-09-20,250.070007,250.190002,248.919998,250.059998,232.126556,59574100
2017-09-21,249.880005,249.979996,249.190002,249.389999,231.504593,48211400
2017-09-22,249.050003,249.630005,249.020004,249.440002,231.551025,51214000
2017-09-25,249.149994,249.550003,248.080002,248.929993,231.077621,57064400
2017-09-26,249.419998,249.699997,248.809998,249.080002,231.216858,54082000
2017-09-27,249.880005,250.490005,248.869995,250.050003,232.117279,81001400
2017-09-28,249.729996,250.440002,249.630005,250.350006,232.395752,44778800
2017-09-29,250.339996,251.320007,250.130005,251.229996,233.212646,85578000
2017-10-02,251.490005,252.320007,251.289993,252.320007,234.224472,59023000
2017-10-03,252.320007,252.889999,252.229996,252.860001,234.725754,66810200
2017-10-04,252.690002,253.440002,252.559998,253.160004,235.004227,55953600
2017-10-05,253.539993,254.679993,253.199997,254.660004,236.396667,63522800
2017-10-06,254.149994,254.699997,253.850006,254.369995,236.127457,80646000
2017-10-09,254.630005,254.699997,253.649994,253.949997,235.737610,35803100
2017-10-10,254.600006,255.050003,253.979996,254.619995,236.359512,43057400
2017-10-11,254.509995,255.020004,254.320007,255.020004,236.730865,47674300
2017-10-12,254.660004,255.059998,254.369995,254.639999,236.378098,47065100
2017-10-13,255.139999,255.270004,254.639999,254.949997,236.665833,54800400
2017-10-16,255.210007,255.509995,254.820007,255.289993,236.981491,38221700
2017-10-17,255.229996,255.520004,254.979996,255.470001,237.148544,31561000
2017-10-18,255.899994,255.949997,255.500000,255.720001,237.380630,40888300
2017-10-19,254.830002,255.830002,254.350006,255.789993,237.445602,61903800
2017-10-20,256.700012,257.140015,255.770004,257.109985,238.670914,89176400
2017-10-23,257.480011,257.510010,256.019989,256.109985,237.742661,63915300
2017-10-24,256.600006,256.829987,256.149994,256.559998,238.160385,66935900
2017-10-25,256.179993,256.309998,254.000000,255.289993,236.981491,103715300
2017-10-26,255.990005,256.299988,255.479996,255.619995,237.287796,69798000
2017-10-27,256.470001,257.890015,255.630005,257.709991,239.227936,85562500
2017-10-30,256.470001,257.600006,256.410004,256.750000,238.336731,54285700
2017-10-31,257.179993,257.440002,256.809998,257.149994,238.708038,60304800
2017-11-01,258.040009,258.429993,257.070007,257.489990,239.023727,54202700
2017-11-02,257.410004,257.750000,256.190002,257.589996,239.116547,56449500
2017-11-03,257.769989,258.500000,257.299988,258.450012,239.914871,59589700
2017-11-06,258.299988,259.000000,258.220001,258.850006,240.286194,49652600
2017-11-07,258.970001,259.350006,258.089996,258.670013,240.119095,57502200
2017-11-08,258.470001,259.220001,258.149994,259.109985,240.527527,50469600
2017-11-09,257.730011,258.390015,256.359985,258.170013,239.654938,95085500
2017-11-10,257.730011,258.290009,257.369995,258.089996,239.580658,59984700
2017-11-13,257.309998,258.589996,257.269989,258.329987,239.803452,50228600
2017-11-14,257.410004,257.850006,256.519989,257.730011,239.246506,61315200
